[Thu Sep 06 11:38:11.589149 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.589155 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.589160 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.590941 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.590973 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.590984 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.590993 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.591002 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.593450 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.593489 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.593501 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.593510 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.593516 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.596555 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.596604 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.596616 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.596624 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.596632 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.599260 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.599298 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.599311 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.599321 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.599330 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.601438 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.601482 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.601497 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.601505 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.601511 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.603908 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.603942 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.603951 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.603957 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.603963 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.607033 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.607068 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.607078 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.607084 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.607112 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
[Thu Sep 06 11:38:11.613174 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: HTTP_REFERER in /var/www/html/practicehtml/validate_signup.php on line 3
[Thu Sep 06 11:38:11.613215 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: name in /var/www/html/practicehtml/validate_signup.php on line 9
[Thu Sep 06 11:38:11.613227 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: email in /var/www/html/practicehtml/validate_signup.php on line 20
[Thu Sep 06 11:38:11.613237 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: password in /var/www/html/practicehtml/validate_signup.php on line 30
[Thu Sep 06 11:38:11.613246 2018] [:error] [pid 3734] [client 127.0.0.1:60786] PHP Notice:  Undefined index: repassword in /var/www/html/practicehtml/validate_signup.php on line 44
